siteID,date,year,startTime.UTC,season,sampleTime,location,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,num_wQ,lat,long,alt,pH,wTemp,DO,turb,light,flow
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Acentrella,ACETUR,1,0.5,2,4,cg,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Acroneuria,ACRSP4,6,0.5,12,0,prd,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Antocha,ANTSP9,6,0.5,12,3,cg,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Apatania,APASP2,16,0.5,32,3,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Attaneuria,ATTSP1,1,0.5,2,3,prd,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Cheumatopsyche,CHESP5,36,0.5,72,5,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Chimarra,CHISP7,2,0.5,4,4,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Drunella,DRUSP,8,0.5,16,0,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Epeorus,EPESP,2,0.5,4,0,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Ephemerella,EPHDOR,13,0.5,26,1,cg,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Ephemerella,EPHSP4,46,0.5,92,1,cg,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Glossosoma,GLOSP3,2,0.5,4,0,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Glossosomatidae,GLOSP1,14,0.5,28,1,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Habrophlebiodes,HABSP1,1,0.5,2,6,scr,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,CERBRO,4,0.5,8,6,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,CERMOR,8,0.5,16,6,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,CERSP11,8,0.5,16,6,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,CERSPA1,4,0.5,8,6,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,HYDBET,2,0.5,4,7,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
MILL,2019-05-28,2019,14:19:00,Summer,Summer 2019,Downstream,Riffle,D-net,01DRSU19.DFR,Hydropsyche,HYDSP23,12,0.5,24,6,cf,2,42.3151,-72.64113499999999,62,7.48,17,10.23,6.75,56,0.1565
