siteID,date,year,startTime.UTC,season,sampleTime,location,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACREVO,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Beloneuria,BELSP1,1,0.5,2,3,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHDOR,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Faxonius,FAXVIR,2,0.5,4,6,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Ferrissia,FERSP,6,0.5,12,6,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERBRO,4,0.5,8,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERMOR,14,0.5,28,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSP11,2,0.5,4,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSPA1,34,0.5,68,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDBET,2,0.5,4,7,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDSP23,3,0.5,6,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Isonychia,ISOSP6,12,0.5,24,2,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Lebertia,LEBSP1,2,0.5,4,8,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Leucrocuta,LEUSP7,6,0.5,12,1,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Maccaffertium,MACSP11,33,0.5,66,2,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,midges,ORTSP1,2,0.5,4,6,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,midges,ORTSP3,1,0.5,2,6,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Neophylax,NEOSP13,104,0.5,208,3,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Perlesta,PERSP6,16,0.5,32,4,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Psephenus,PSESP12,4,0.5,8,4,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Pycnopsyche,PYCSP1,26,0.5,52,4,sh
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Rhyacophila,RHYSP3,1,0.5,2,1,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,segmented_worms,STYHER,2,0.5,4,5,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Sperchonopsis,SPESP5,2,0.5,4,8,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DFR,Stenelmis,STESP6,18,0.5,36,5,scr
MILL,2018-05-29,2018,14:21:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DM,Acroneuria,ACRCAR,1,0.5,2,0,prd
MILL,2018-05-29,2018,14:21:00,Summer,Summer 2018,Downstream,Riffle,D-net,01DRSU18.DM,Antocha,ANTSP9,10,0.5,20,3,cg
