siteID,date,year,startTime.UTC,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,wTemp.5min.mean,wTemp.5min.min,wTemp.5min.max,pH,DO,turb
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,Tricorythodes,TRISP13,1,0.093,10.75268817204301,4,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,midges,ZAVSP,1,0.093,10.75268817204301,8,prd,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,Physa,PHYSP7,1,0.093,10.75268817204301,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,pool,core,SYCA.20170703.CORE.2,midges,ALOSP,1,0.006,166.66666666666666,9,prd,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.3,Hydroptilidae,HYDSP5,1,0.093,10.75268817204301,2,scr,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,pool,core,SYCA.20170703.CORE.6,Caloparyphus/Euparyphus,CALSP39,1,0.006,166.66666666666666,7,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,pool,core,SYCA.20170703.CORE.2,midges,DICSP7,1,0.006,166.66666666666666,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,midges,DICSP7,5,0.093,53.763440860215056,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.7,Nais,NAISP1,3,0.093,32.25806451612903,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,midges,CRISP2,1,0.093,10.75268817204301,7,sh,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.7,segmented_worms,NAISP,1,0.093,10.75268817204301,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.7,segmented_worms,NAISP,1,0.093,10.75268817204301,10,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.3,Nais,NAISP1,2,0.093,21.50537634408602,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.7,Nais,NAISP1,6,0.093,64.51612903225806,8,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.3,Hydroporinae,HYDSP18,1,0.093,10.75268817204301,5,prd,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,run,surber,SYCA.20170703.SURBER.8,midges,PSESP18,13,0.093,139.78494623655914,5,cg,NA,NA,NA,NA,NA,NA
SYCA,2017-07-03,2017,17:30:00,pool,core,SYCA.20170703.CORE.4,Stilobezzia,STISP4,1,0.006,166.66666666666666,6,prd,NA,NA,NA,NA,NA,NA
