siteID,date,year,startTime.UTC,season,sampleTime,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRABN,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRSP4,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRABN,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRCAR,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACREVO,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRLYC,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Acroneuria,ACRSP4,1,0.5,2,0,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Beloneuria,BELSP1,1,0.5,2,3,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHDOR,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHINV,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHSP4,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHALL,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHHIS,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHSUB,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ephemerella,EPHTIB,6,0.5,12,1,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Faxonius,FAXSP1,2,0.5,4,6,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Faxonius,FAXVIR,2,0.5,4,6,cg
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Ferrissia,FERSP,6,0.5,12,6,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDSP23,59,0.5,118,3,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSLO,59,0.5,118,4,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERVEN1,59,0.5,118,5,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERBRO,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERMOR,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSPA1,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDSCA,59,0.5,118,2,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDSP23,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERBRO,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERMOR,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSP11,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSP11,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,CERSPA1,59,0.5,118,6,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Hydropsyche,HYDBET,59,0.5,118,7,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Isonychia,ISOSP6,12,0.5,24,2,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Isonychia,ISOSP6,12,0.5,24,2,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Isonychia,ISOSP6,12,0.5,24,2,cf
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Lebertia,LEBSP1,2,0.5,4,8,prd
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Leucrocuta,LEUSP7,6,0.5,12,1,scr
MILL,2018-05-29,2018,13:56:00,Summer,Summer 2018,Riffle,D-net,01DRSU18.DFR,Maccaffertium,MACMOD,33,0.5,66,1,scr
